length_bin,length_label,Victim.injury,count
0.0,0.0–0.5m,injured,4
0.5,0.5–1.0m,injured,21
1.0,1.0–1.5m,injured,52
1.0,1.0–1.5m,uninjured,8
1.5,1.5–2.0m,injured,68
1.5,1.5–2.0m,uninjured,8
2.0,2.0–2.5m,fatal,7
2.0,2.0–2.5m,injured,59
2.0,2.0–2.5m,uninjured,24
2.5,2.5–3.0m,fatal,3
2.5,2.5–3.0m,injured,32
2.5,2.5–3.0m,uninjured,28
3.0,3.0–3.5m,fatal,21
3.0,3.0–3.5m,injured,48
3.0,3.0–3.5m,uninjured,33
3.5,3.5–4.0m,fatal,13
3.5,3.5–4.0m,injured,17
3.5,3.5–4.0m,uninjured,15
4.0,4.0–4.5m,fatal,29
4.0,4.0–4.5m,injured,22
4.0,4.0–4.5m,uninjured,18
4.5,4.5–5.0m,fatal,12
4.5,4.5–5.0m,injured,3
4.5,4.5–5.0m,uninjured,2
5.0,5.0–5.5m,fatal,6
5.0,5.0–5.5m,injured,9
5.0,5.0–5.5m,uninjured,3
5.5,5.5–6.0m,fatal,1
5.5,5.5–6.0m,uninjured,1
6.0,6.0–6.5m,fatal,6
6.0,6.0–6.5m,injured,2
6.0,6.0–6.5m,uninjured,4
