Species.clean,count,fatal,provoked,median_length,mean_length,length_count,fatal_rate,provoked_rate
Bronze Whaler,27,0,23,2.5,2.5208333333,24,0.0,85.2
Bull Shark,197,63,29,2.25,2.4094594595,74,32.0,14.7
Dusky Shark,5,0,2,1.95,1.95,2,0.0,40.0
Grey Nurse,9,0,5,2.0,1.8666666667,3,0.0,55.6
Grey Reef,8,0,5,2.0,1.95,4,0.0,62.5
Hammerhead,5,0,5,3.0,3.3333333333,3,0.0,100.0
Lemon Shark,5,0,2,1.0,1.0,1,0.0,40.0
Tiger Shark,229,86,104,3.0,3.1662650602,83,37.6,45.4
Whaler Shark,73,5,30,2.0,2.2,32,6.8,41.1
White Shark,361,91,63,3.0,3.375,236,25.2,17.5
Whitetip Reef,7,0,6,1.5,1.7,5,0.0,85.7
Wobbegong,201,0,100,1.2,1.3408602151,93,0.0,49.8
